Institution Name,State
Syracuse University,NY
Catawba College,NC
Miller-Motte College-Wilmington,NC
Emerson College,MA
Northeastern State University,OK
Indiana Institute of Technology,IN
Skyline College,CA
Bridgewater College,VA
University of North Carolina at Pembroke,NC
Beth Medrash Govoha,NJ
Wake Forest University,NC
University of Arkansas,AR
Rutgers University-Newark,NJ
Rice University,TX
University of Southern California,CA
University of Idaho,ID
University of Nevada-Reno,NV
Milwaukee School of Engineering,WI
St. Francis College,NY
Veritas Baptist College,--
Texas Wesleyan University,TX
Eastern University,PA
Rollins College,FL
Beacon College,FL
Amridge University,--
Berkeley College-New York,NY
SUNY College of Technology at Alfred,NY
Remington College-North Houston Campus,TX
Yeshiva Karlin Stolin,NY
Yeshiva Bais Aharon,NJ
Landmark College,VT
Pacific College of Health and Science,CA
Rogers State University,OK
Rasmussen University-Wisconsin,WI
California State University-Dominguez Hills,CA
The University of Texas at El Paso,TX
Western Michigan University,MI
Helene Fuld College of Nursing,NY
Eastern International College-Jersey City,NJ
West Coast University-Miami,FL
Shippensburg University of Pennsylvania,PA
Lasell University,MA
Utica University,NY
Bentley University,MA
Drury University,MO
California State University-East Bay,CA
Pennsylvania State University-Penn State Beaver,PA
University of Northwestern-St Paul,MN
New Mexico State University-Main Campus,NM
Binghamton University,NY
Charter College,WA
Indiana Institute of Technology-College of Professional Studies,IN
Bridgewater State University,MA
Inter American University of Puerto Rico-San German,PR
University of Missouri-St Louis,MO
Union College,KY
University of California-San Diego,CA
City Vision University,--
University of Alaska Southeast,AK
Colby-Sawyer College,NH
Vermont Technical College,VT
University of Maine at Presque Isle,ME
Metropolitan State University of Denver,CO
Lac Courte Oreilles Ojibwe University,WI
Monmouth College,IL
California College of the Arts,CA
Yeshivah Gedolah Rabbinical College,FL
Charter Oak State College,CT
California Aeronautical University,CA
Purdue University Global,IN
University of South Dakota,SD
Marymount Manhattan College,NY
Miller-Motte College,--
University of Holy Cross,LA
Gwynedd Mercy University,PA
Nueta Hidatsa Sahnish College,ND
Ner Israel Rabbinical College,MD
Pitzer College,CA
Valencia College,FL
Duke University,NC
Life University,GA
Cleveland University-Kansas City,KS
Strayer University-Florida,FL
Alverno College,WI
Texas Lutheran University,TX
University of St Francis,IL
Simpson University,CA
Ottawa University-Surprise,AZ
Universidad Ana G. Mendez-Cupey Campus,PR
Marywood University,PA
Marymount University,VA
Elizabeth City State University,NC
Bellingham Technical College,WA
Biola University,CA
Pennsylvania State University-Penn State Mont Alto,PA
Pennsylvania State University-Penn State Erie-Behrend College,PA
Barton College,NC
Oakwood University,AL
Olivet Nazarene University,IL
Siena Heights University,MI
American InterContinental University-Atlanta,GA
Saint Joseph's University,PA
Augustana University,SD
Cornish College of the Arts,WA
University of Southern Indiana,IN
Miami University-Hamilton,OH
Jacksonville State University,AL
University of Colorado Denver/Anschutz Medical Campus,CO
Georgian Court University,NJ
California State University-Northridge,CA
University of Hawaii Maui College,HI
Hollins University,VA
Lesley University,MA
University of New Hampshire-Main Campus,NH
Fitchburg State University,MA
University of Phoenix-Hawaii,HI
University of Michigan-Flint,MI
East-West University,IL
Northwest College of Art & Design,WA
Bradley University,IL
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY
Missouri University of Science and Technology,MO
Martin University,IN
Chamberlain University-Texas,TX
Herzing University-New Orleans,LA
Southwest University at El Paso,TX
DigiPen Institute of Technology,WA
Institute of American Indian and Alaska Native Culture and Arts Development,NM
Maine Maritime Academy,ME
Albany State University,GA
Plaza College,NY
St. Andrews University,NC
Charles R Drew University of Medicine and Science,CA
Muskingum University,OH
Menlo College,CA
Princeton University,NJ
Granite State College,NH
Luther Rice College & Seminary,GA
Ranken Technical College,MO
Greenville University,IL
St Petersburg College,FL
Oklahoma State University-Oklahoma City,OK
Post University,CT
University of Colorado Colorado Springs,CO
Bemidji State University,MN
West Virginia Wesleyan College,WV
Laguna College of Art and Design,CA
Gulf Coast State College,FL
Rabbinical Seminary of America,NY
Salem State University,MA
Morgan State University,MD
Manhattan Christian College,KS
Michigan Technological University,MI
Moravian University,PA
Great Basin College,NV
Hartwick College,NY
California Northstate University,CA
Pennsylvania State University-Penn State Lehigh Valley,PA
Keuka College,NY
Milwaukee Institute of Art & Design,WI
University of Scranton,PA
North Central College,IL
Delaware Valley University,PA
Santa Monica College,CA
Polk State College,FL
University of Guam,GU
Potomac State College of West Virginia University,WV
Northwest Nazarene University,ID
University of Puerto Rico-Aguadilla,PR
Fairfield University,CT
Wright State University-Main Campus,OH
Indiana University-Purdue University-Indianapolis,IN
Strayer University-Georgia,GA
Herzing University-Orlando,FL
Christopher Newport University,VA
Northern New Mexico College,NM
Whittier College,CA
University of Bridgeport,CT
Allegheny College,PA
Chamberlain University-Florida,FL
Alabama State University,AL
Heritage Bible College,NC
American National University,VA
Northwestern College,IA
Saint Anthony College of Nursing,IL
Herzing University-Akron,OH
University of Alaska Fairbanks,AK
Bay Path University,MA
California State University-Channel Islands,CA
University of Puerto Rico-Arecibo,PR
CUNY Bernard M Baruch College,NY
California State University-Fullerton,CA
University of Denver,CO
Central Connecticut State University,CT
American International College,MA
Doane University,NE
Trinity Baptist College,FL
Rose-Hulman Institute of Technology,IN
Saint Elizabeth University,NJ
Wisconsin Lutheran College,WI
Virginia State University,VA
Texas Woman's University,TX
University of Management and Technology,VA
Bethel College-North Newton,KS
Cleary University,MI
Dalton State College,GA
Central Wyoming College,WY
Coastal Carolina University,SC
Valparaiso University,IN
California State Polytechnic University-Humboldt,CA
Indiana Wesleyan University-Marion,IN
CUNY New York City College of Technology,NY
Colorado Mountain College,CO
CEM College-Mayaguez,PR
North Carolina State University at Raleigh,NC
Webb Institute,NY
Scripps College,CA
San Francisco State University,CA
Fort Valley State University,GA
Waldorf University,IA
San Ignacio University,FL
Shaw University,NC
John Brown University,AR
Embry-Riddle Aeronautical University-Daytona Beach,FL
University of Wisconsin-Stout,WI
Shorter University,GA
Appalachian Bible College,WV
Appalachian State University,NC
Blackburn College,IL
Kent State University at East Liverpool,OH
McMurry University,TX
Franciscan University of Steubenville,OH
Pacific Bible College,OR
Rasmussen University-Illinois,IL
PCI College,CA
College of the Atlantic,ME
Lone Star College System,TX
Strayer University-Mississippi,MS
California State University-Bakersfield,CA
Otterbein University,OH
Coe College,IA
American University,DC
Wayne State College,NE
Trinity Christian College,IL
Texas A & M International University,TX
SUNY College of Technology at Delhi,NY
The Creative Center,NE
Bryan University,AZ
Oregon Institute of Technology,OR
Rabbinical College Beth Shraga,NY
Bellin College,WI
California Polytechnic State University-San Luis Obispo,CA
Austin College,TX
Sacred Heart University,CT
DeVry University-Pennsylvania,PA
John Patrick University of Health and Applied Sciences,IN
Washington State University Spokane,WA
Clarke University,IA
Escuela de Artes Plasticas de Puerto Rico,PR
Mississippi University for Women,MS
University of Maine,ME
Rabbinical College of America,NJ
Nebraska Methodist College of Nursing & Allied Health,NE
Skidmore College,NY
Community College of Denver,CO
Georgia Southern University,GA
University of San Francisco,CA
SUNY College at Geneseo,NY
Savannah College of Art and Design,GA
Western Kentucky University,KY
University of Cincinnati-Main Campus,OH
Southern Nazarene University,OK
Jackson College,MI
Haverford College,PA
Malone University,OH
University of Maryland Global Campus,MD
University of Wisconsin-Milwaukee,WI
Southwestern Assemblies of God University,TX
Alpena Community College,MI
University of California-Los Angeles,CA
Emory University,GA
The Christ College of Nursing and Health Sciences,OH
Mesivta Torah Vodaath Rabbinical Seminary,NY
Northern Vermont University,VT
Zane State College,OH
Felician University,NJ
Dewey University-Juana Díaz,PR
Washington State University Tri-Cities,WA
Fairmont State University,WV
Centura College-Chesapeake,VA
Columbia Basin College,WA
Concord University,WV
Winthrop University,SC
Central Yeshiva Tomchei Tmimim Lubavitz,NY
Lindenwood University,MO
University of Puerto Rico-Ponce,PR
University of Wisconsin-Parkside,WI
Gurnick Academy of Medical Arts,CA
Regent University,VA
University of Alaska Anchorage,AK
Broward College,FL
Fairleigh Dickinson University-Florham Campus,NJ
University of Silicon Valley,CA
Bowling Green State University-Firelands,OH
Yeshivath Beth Moshe,PA
Neumann University,PA
Robert Morris University,PA
Northcentral University,--
Cleveland Institute of Art,OH
Kent State University at Ashtabula,OH
Murray State University,KY
AdventHealth University,FL
Elmhurst University,IL
Remington College-Dallas Campus,TX
Cedarville University,OH
Virginia Wesleyan University,VA
Fordham University,NY
Smith College,MA
Valdosta State University,GA
Barnard College,NY
Bloomfield College,NJ
Missouri Valley College,MO
Alice Lloyd College,KY
University of Kentucky,KY
University of Pennsylvania,PA
Los Angeles College of Music,CA
Embry-Riddle Aeronautical University-Worldwide,FL
Wilkes University,PA
Seattle Pacific University,WA
Pacific College of Health and Science,NY
Southern Connecticut State University,CT
United Tribes Technical College,ND
Skagit Valley College,WA
Southeastern College-West Palm Beach,FL
Galen College of Nursing-San Antonio,TX
New Mexico Highlands University,NM
Grand Valley State University,MI
Peru State College,NE
North Florida College,FL
Longwood University,VA
The University of Texas Permian Basin,TX
University of Phoenix-Nevada,NV
Purdue University Northwest,IN
West Texas A & M University,TX
Zaytuna College,CA
Welch College,TN
University of Connecticut-Stamford,CT
Strayer University-Maryland,MD
California Baptist University,CA
Southeastern Oklahoma State University,OK
Berkeley College-Woodland Park,NJ
Logan University,MO
Broadview College,UT
Lynn University,FL
Washington State University Vancouver,WA
Parker University,TX
University of Indianapolis,IN
Presbyterian College,SC
University of Vermont,VT
Northland College,WI
Nichols College,MA
Sullivan University,KY
University of Missouri-Columbia,MO
Miami Regional University,FL
California State University-Stanislaus,CA
Thomas College,ME
Carnegie Mellon University,PA
Pennsylvania State University-Penn State New Kensington,PA
University of Arkansas at Little Rock,AR
Daytona State College,FL
Pacific Rim Christian University,HI
Minot State University,ND
Seton Hill University,PA
John Carroll University,OH
California Lutheran University,CA
American Public University System,--
Tusculum University,TN
Donnelly College,KS
Greenville Technical College,SC
Bard College at Simon's Rock,MA
University of Northern Iowa,IA
The College of Wooster,OH
Wabash College,IN
West Los Angeles College,CA
University of Louisiana at Monroe,LA
Towson University,MD
South University-Virginia Beach,VA
Rocky Mountain College of Art and Design,CO
Johnson & Wales University-Charlotte,NC
University of Northern Colorado,CO
Saint Vincent College,PA
Bergin Universiy,CA
Pennsylvania State University-Penn State Abington,PA
Mercer University,GA
Goodwin University,CT
Columbia Southern University,AL
University of Illinois Springfield,IL
Westminster College,MO
Massachusetts College of Art and Design,MA
Coppin State University,MD
Southwest Minnesota State University,MN
Alaska Pacific University,AK
Texas A & M University-Commerce,TX
National American University-Ellsworth,SD
Rasmussen University-Florida,FL
Ferrum College,VA
SUNY Cortland,NY
Andrews University,MI
Grays Harbor College,WA
Peirce College,PA
Texas Tech University,TX
University of Central Oklahoma,OK
University of the Incarnate Word,TX
University of Mary Washington,VA
Hesston College,KS
University of Northwestern Ohio,OH
Caldwell University,NJ
Simmons College of Kentucky,KY
Swarthmore College,PA
Middle Georgia State University,GA
Anna Maria College,MA
Norwich University,VT
Woodbury University,CA
University of California-Irvine,CA
New Jersey Institute of Technology,NJ
Northeastern Illinois University,IL
Rutgers University-New Brunswick,NJ
Talmudical Seminary Oholei Torah,NY
The Modern College of Design,OH
Seminole State College of Florida,FL
University of Washington-Bothell Campus,WA
Olivet College,MI
Limestone University,SC
Thomas More College of Liberal Arts,NH
Saint Xavier University,IL
University of North Carolina School of the Arts,NC
Greensboro College,NC
Bay Mills Community College,MI
Eastern Illinois University,IL
Lipscomb University,TN
Sweet Briar College,VA
New York College of Health Professions,NY
Unity College,ME
Capital University,OH
Regis University,CO
Gnomon,CA
Indiana University-Southeast,IN
Augustana College,IL
University of the Pacific,CA
University of North Carolina at Charlotte,NC
Minerva University,CA
Solano Community College,CA
Bryant & Stratton College-Parma,OH
Midland University,NE
Remington College-Shreveport Campus,LA
Cameron University,OK
Beckfield College-Florence,KY
New England College,NH
Ensign College,UT
Platt College-Aurora,CO
DeVry University-Georgia,GA
Saint Cloud State University,MN
Ohio University-Eastern Campus,OH
Lorain County Community College,OH
Carroll University,WI
University of Nevada-Las Vegas,NV
Huntington University of Health Sciences,--
Frostburg State University,MD
Walden University,--
Huntingdon College,AL
Miami University-Oxford,OH
North Dakota State University-Main Campus,ND
Christian Brothers University,TN
University of San Diego,CA
Modesto Junior College,CA
Georgia Highlands College,GA
Warren Wilson College,NC
State University of New York at Oswego,NY
SUNY at Fredonia,NY
CUNY Brooklyn College,NY
Western Carolina University,NC
Oklahoma Wesleyan University,OK
Laramie County Community College,WY
Indiana University of Pennsylvania-Main Campus,PA
DeVry University-Florida,FL
Paier College,CT
University of Arkansas-Fort Smith,AR
Case Western Reserve University,OH
Westmont College,CA
College for Creative Studies,MI
Alma College,MI
Southeastern University,FL
Occidental College,CA
Morningside University,IA
Wichita State University,KS
Schiller International University,FL
Colorado Mesa University,CO
The New School,NY
Northwestern Oklahoma State University,OK
University of Pittsburgh-Pittsburgh Campus,PA
North Greenville University,SC
Southern Oregon University,OR
University of California-Santa Cruz,CA
University of Wyoming,WY
Colorado Technical University-Colorado Springs,CO
Ohio University-Southern Campus,OH
National Louis University,IL
Yeshiva of Nitra Rabbinical College,NY
University of Lynchburg,VA
Elim Bible Institute and College,NY
Southwest Baptist University,MO
Dewey University-Carolina,PR
United International College,FL
University of Mount Union,OH
Montana State University Billings,MT
University of Cincinnati-Blue Ash College,OH
Columbia College Hollywood,CA
Dine College,AZ
Tulane University of Louisiana,LA
State University of New York at New Paltz,NY
Ohio State University-Marion Campus,OH
Our Lady of the Lake University,TX
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY
The Catholic University of America,DC
Ashland University,OH
Husson University,ME
University of Sioux Falls,SD
Empire State University,NY
Inter American University of Puerto Rico-Barranquitas,PR
National American University-Georgetown,TX
University of the Cumberlands,KY
George Fox University,OR
Southern Virginia University,VA
Full Sail University,FL
Amherst College,MA
Wheeling University,WV
Nebraska Wesleyan University,NE
New York Institute of Technology,NY
Pennsylvania Institute of Technology,PA
Lyon College,AR
Prescott College,AZ
Bakersfield College,CA
Seattle University,WA
Northwest University-Center for Online and Extended Education,WA
California University of Management and Sciences,CA
University of North Carolina at Asheville,NC
Lake Forest College,IL
Northern Marianas College,MP
Academy of Art University,CA
Trinidad State College,CO
Hult International Business School,MA
Sonoma State University,CA
William Jewell College,MO
West Virginia State University,WV
Clark College,WA
North Central State College,OH
Mount Aloysius College,PA
Central Ohio Technical College,OH
Kansas Christian College,KS
Johnson & Wales University-Providence,RI
Franciscan Missionaries of Our Lady University,LA
Ohio University-Lancaster Campus,OH
Laurus College,CA
Valley College-Martinsburg,WV
Knox College,IL
University of Mississippi,MS
Trinity International University-Illinois,IL
Universidad Ana G. Mendez–Carolina campus,PR
Cypress College,CA
University of Science and Arts of Oklahoma,OK
Augsburg University,MN
North Carolina Wesleyan University,NC
Shorter College,AK
Learnet Academy Inc,CA
Inter American University of Puerto Rico-Bayamon,PR
Endicott College,MA
Bryant & Stratton College-Albany,NY
Columbus State University,GA
Rabbinical College of Long Island,NY
College of Mount Saint Vincent,NY
Eagle Gate College-Layton,UT
Sarah Lawrence College,NY
Five Towns College,NY
Jose Maria Vargas University,FL
Montreat College,NC
Monmouth University,NJ
Salisbury University,MD
Texas State University,TX
Wheaton College,IL
Rust College,MS
City College-Gainesville,FL
St. Joseph's University-Long Island,NY
Pillar College,NJ
Vincennes University,IN
Anderson University,IN
Longy School of Music of Bard College,MA
University of Kansas,KS
University of Mount Olive,NC
University of Rio Grande,OH
Central Penn College,PA
Baptist Bible College,MO
Grand View University,IA
Angelo State University,TX
Piedmont University,GA
Nicholls State University,LA
Rockhurst University,MO
University of Southern Maine,ME
Methodist University,NC
Massachusetts Maritime Academy,MA
University of Puerto Rico-Cayey,PR
Thomas University,GA
CUNY Lehman College,NY
Texas A & M University-Kingsville,TX
Fayetteville State University,NC
Whitman College,WA
Caribbean University-Carolina,PR
Newman University,KS
Charlotte Christian College and Theological Seminary,NC
Manna University,NC
Atlantis University,FL
Yeshivath Zichron Moshe,NY
Concordia University Texas,TX
Le Moyne College,NY
Carlow University,PA
Haskell Indian Nations University,KS
University of Connecticut-Hartford Campus,CT
Utah Valley University,UT
Pennsylvania State University-Penn State Greater Allegheny,PA
Keystone College,PA
Hampton University,VA
Colorado State University Pueblo,CO
University of Puerto Rico-Bayamon,PR
Abilene Christian University,TX
Centenary College of Louisiana,LA
University of Toledo,OH
The Master's University and Seminary,CA
California Christian College,CA
North Carolina A & T State University,NC
Juniata College,PA
South Carolina State University,SC
University of Evansville,IN
University of Puerto Rico-Utuado,PR
Dallas College,TX
Lewis-Clark State College,ID
California State University-Chico,CA
University of North Carolina at Chapel Hill,NC
Hardin-Simmons University,TX
Ohio State University-Lima Campus,OH
California State University Maritime Academy,CA
Rensselaer Polytechnic Institute,NY
Salve Regina University,RI
Kentucky Wesleyan College,KY
Kenyon College,OH
Ohio State University-Newark Campus,OH
Felbry College,OH
Oklahoma State University Institute of Technology,OK
Baylor University,TX
University of Minnesota-Rochester,MN
Washington University in St Louis,MO
New York University,NY
The University of Texas at Arlington,TX
Strayer University-New Jersey,NJ
"Skyline College

",--
Herzing University-Birmingham,AL
Ringling College of Art and Design,FL
Wilmington University,DE
Beulah Heights University,GA
Western New England University,MA
Feather River Community College District,CA
Antigua College International,FL
"Houston Christian University
",TX
Oberlin College,OH
Western Connecticut State University,CT
Selma University,AL
The Cooper Union for the Advancement of Science and Art,NY
DeVry University-Texas,TX
Southern Utah University,UT
Kennesaw State University,GA
Sul Ross State University,TX
Herzing University-Tampa,FL
University of North Dakota,ND
Oregon State University-Cascades Campus,OR
Yeshiva University,NY
Delaware State University,DE
California State University-Monterey Bay,CA
Walnut Hill College,PA
Washington State University Everett,WA
York University,NE
Pasco-Hernando State College,FL
Angeles College,CA
Florida Southern College,FL
Chamberlain University-Georgia,GA
SAE Institute of Technology-Nashville,TN
Goshen College,IN
Franklin College,IN
California State University-Long Beach,CA
Living Arts College,NC
University of Wisconsin-Superior,WI
Bethany Lutheran College,MN
Goldey-Beacom College,DE
Willamette University,OR
Inter American University of Puerto Rico-Ponce,PR
University of Miami,FL
College of the Holy Cross,MA
Mount Mary University,WI
Manchester University,IN
Pennsylvania State University-Penn State Scranton,PA
Dickinson College,PA
University of Michigan-Ann Arbor,MI
Tarleton State University,TX
Bethel University,MN
Saint Louis University,MO
Capitol Technology University,MD
Baptist University of the Americas,TX
Northwest University,WA
Kentucky State University,KY
Millikin University,IL
Cornell University,NY
University of Connecticut,CT
Ursinus College,PA
University of Chicago,IL
Southern Adventist University,TN
Renton Technical College,WA
Remington College-Memphis Campus,TN
Wesleyan College,GA
Austin Peay State University,TN
University of Nebraska at Kearney,NE
Pennsylvania State University-Penn State Wilkes-Barre,PA
Brazosport College,TX
Mount Carmel College of Nursing,OH
Bloomsburg University of Pennsylvania,PA
Ana G. Mendez University,FL
Trine University-Regional/Non-Traditional Campuses,IN
University of California-Davis,CA
Bryant & Stratton College-Syracuse North,NY
Century College,MN
Cascadia College,WA
St. John's College,MD
Southern Methodist University,TX
Voorhees University,SC
Villa Maria College,NY
Oglala Lakota College,SD
Missouri State University-Springfield,MO
New Jersey City University,NJ
Mitchell College,CT
University of Wisconsin-La Crosse,WI
University of Puerto Rico-Humacao,PR
Ohio Dominican University,OH
Front Range Community College,CO
International Baptist College and Seminary,AZ
Concordia University-Wisconsin,WI
Miami Dade College,FL
American Samoa Community College,AS
Rochester Christian University,MI
Central Washington University,WA
Bushnell University,OR
University of Notre Dame,IN
The New England Conservatory of Music,MA
Manhattan School of Music,NY
Mercyhurst University,PA
Sisseton Wahpeton College,SD
Flagler College,FL
Montana State University,MT
Sam Houston State University,TX
California State University-Fresno,CA
University of Alabama at Birmingham,AL
Miles College,AL
Dakota Wesleyan University,SD
Hiram College,OH
Maryville University of Saint Louis,MO
University of Jamestown,ND
The University of Montana,MT
CEM College-Bayamon,PR
Saint Joseph's College of Maine,ME
St. John's University-New York,NY
Albertus Magnus College,CT
Pennsylvania State University-Penn State Berks,PA
University of North Alabama,AL
Fairfax University of America,VA
Vassar College,NY
The University of Montana-Western,MT
Turtle Mountain Community College,ND
Yeshiva D'monsey Rabbinical College,NY
University of St Thomas,TX
Grace Christian University,MI
South Dakota State University,SD
West Coast University-Dallas,TX
Inter American University of Puerto Rico-Fajardo,PR
Newschool of Architecture and Design,CA
University of Portland,OR
Huertas College,PR
Suffolk University,MA
Rosemont College,PA
Mississippi Valley State University,MS
Bard College,NY
Lenoir-Rhyne University,NC
Lawrence Technological University,MI
University of Missouri-Kansas City,MO
Lake-Sumter State College,FL
Wright State University-Lake Campus,OH
Bryant University,RI
Maine College of Art & Design,ME
University of Virginia-Main Campus,VA
Saint Francis University,PA
Chamberlain University-North Carolina,NC
Conservatory of Music of Puerto Rico,PR
Pennsylvania State University-Penn State Shenango,PA
University of Maine at Augusta,ME
Hobart William Smith Colleges,NY
William Paterson University of New Jersey,NJ
University of St Thomas,MN
National American University,--
The Juilliard School,NY
New Orleans Baptist Theological Seminary,LA
Marian University,WI
Albion College,MI
Clark University,MA
Butler University,IN
Spartanburg Methodist College,SC
Holy Cross College,IN
LIM College,NY
Bucknell University,PA
University of Puerto Rico-Rio Piedras,PR
University of the Ozarks,AR
Southern Illinois University-Edwardsville,IL
Ithaca College,NY
CUNY York College,NY
Johns Hopkins University,MD
Henderson State University,AR
Fort Lewis College,CO
University of New Orleans,LA
Texas Southern University,TX
Chamberlain University-Missouri,MO
Adams State University,CO
Fort Hays State University,KS
Rockford University,IL
Peninsula College,WA
Savannah State University,GA
Saint Edward's University,TX
Colorado State University-Fort Collins,CO
University of Dubuque,IA
Warner University,FL
Northwestern University,IL
Bluefield State University,WV
Indiana University-East,IN
Nazarene Bible College,KY
Averett University-Non-Traditional Programs,VA
Bellevue University,NE
Santa Clara University,CA
Hamline University,MN
Reinhardt University,GA
Augusta University,GA
University of Wisconsin-Stevens Point,WI
Vaughn College of Aeronautics and Technology,NY
Henry Ford College,MI
University of Wisconsin-River Falls,WI
St Bonaventure University,NY
SAE Expression College,CA
Arizona Christian University,AZ
Pennsylvania State University-Penn State Hazleton,PA
Messenger College,TX
Holy Family University,PA
Belmont Abbey College,NC
Jackson State University,MS
The College of Idaho,ID
Concordia University Ann Arbor,MI
San Diego Global Knowledge University,CA
The College of New Jersey,NJ
University of Dayton,OH
Mount Marty University,SD
University of Rochester,NY
DePauw University,IN
Centura College-Virginia Beach,VA
Defiance College,OH
Academy College,MN
South University-Montgomery,AL
Wiley College,TX
Gordon State College,GA
University of Houston-Clear Lake,TX
Evangel University,MO
East Georgia State College,GA
Amberton University,TX
University of California-Santa Barbara,CA
American Business and Technology University,MO
Rhode Island School of Design,RI
Tennessee Wesleyan University,TN
CUNY Medgar Evers College,NY
Washington and Lee University,VA
SUNY Polytechnic Institute,NY
College of Southern Nevada,NV
Foothill College,CA
University of Pittsburgh-Greensburg,PA
Centre College,KY
Gettysburg College,PA
Chicago State University,IL
Western Colorado University,CO
Clarkson College,NE
Stanford University,CA
Southeast Missouri State University,MO
Westfield State University,MA
Brigham Young University-Idaho,ID
Meredith College,NC
Old Dominion University,VA
La Sierra University,CA
University of California-Merced,CA
University of North Carolina Wilmington,NC
Truckee Meadows Community College,NV
Pensacola State College,FL
Emmanuel College,MA
University of Tulsa,OK
Manhattanville College,NY
Oklahoma Baptist University,OK
Kent State University at Kent,OH
Mesivtha Tifereth Jerusalem of America,NY
Rider University,NJ
American InterContinental University,--
Torah Temimah Talmudical Seminary,NY
Huntsville Bible College,AL
Montana State University-Northern,MT
The University of the South,TN
San Diego Mesa College,CA
Maryland Institute College of Art,MD
Converse University,SC
Asbury University,KY
University of Massachusetts Global,CA
McPherson College,KS
DeVry University-Ohio,OH
Spring Hill College,AL
Bellarmine University,KY
Dallas Christian College,TX
Sinclair Community College,OH
University of Wisconsin-Green Bay,WI
Jarvis Christian University,TX
Muhlenberg College,PA
University of Wisconsin - Madison,WI
Worcester State University,MA
CUNY Queens College,NY
University of Iowa,IA
Valor Christian College,OH
SUNY College at Potsdam,NY
Millsaps College,MS
Curtis Institute of Music,PA
Roosevelt University,IL
Nazareth College,NY
Pacific College,CA
Pacific States University,CA
University of Puget Sound,WA
Chamberlain University-Illinois,IL
University of Pittsburgh-Bradford,PA
University of Houston-Victoria,TX
Bowdoin College,ME
Virginia Commonwealth University,VA
Metropolitan College of New York,NY
Pennsylvania College of Art and Design,PA
University of Saint Francis-Fort Wayne,IN
Metropolitan State University,MN
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA
Utah Tech University,UT
Southeastern Baptist Theological Seminary,NC
Liberty University,VA
Randolph-Macon College,VA
Southwestern University,TX
Tennessee Technological University,TN
University of Maryland-College Park,MD
Morehead State University,KY
Beis Medrash Heichal Dovid,NY
American Musical and Dramatic Academy,NY
Bryant & Stratton College-Buffalo,NY
Molloy College,NY
Strayer University-Tennessee,TN
Tiffin University,OH
Stevens Institute of Technology,NJ
Paine College,GA
Galen College of Nursing-Louisville,KY
Schoolcraft Community College District,MI
Bellevue College,WA
Lock Haven University,PA
