Institution Name,State
Rhode Island College,RI
Strayer University-Texas,TX
Ohio State University-Main Campus,OH
Mount Mercy University,IA
University of North Texas,TX
Aviator College of Aeronautical Science and Technology,FL
Goucher College,MD
Simpson College,IA
Indiana University-Bloomington,IN
Carolina Christian College,NC
Hendrix College,AR
Lake Superior State University,MI
Yeshiva Toras Chaim,NJ
Pikes Peak State College,CO
Geneva College,PA
Prairie View A & M University,TX
Franklin Pierce University,NH
Claremont McKenna College,CA
Carthage College,WI
University of California-Berkeley,CA
Davis & Elkins College,WV
Salem College,NC
California University of Pennsylvania,PA
Strayer University-District of Columbia,DC
Southwestern Oklahoma State University,OK
College of Biblical Studies-Houston,TX
Salem University,WV
University of North Carolina at Greensboro,NC
Xavier University of Louisiana,LA
University of Hawaii-West Oahu,HI
Gonzaga University,WA
Hope College,MI
American Islamic College,IL
Herzing University-Minneapolis,MN
Edinboro University of Pennsylvania,PA
Thomas Jefferson University,PA
University of Hartford,CT
Pennsylvania State University-Main Campus,PA
Kehilath Yakov Rabbinical Seminary,NY
Notre Dame of Maryland University,MD
Wilberforce University,OH
Grace College and Theological Seminary,IN
Atlanta Metropolitan State College,GA
Saint Charles Borromeo Seminary-Overbrook,PA
Shepherd University,WV
Mars Hill University,NC
Belmont University,TN
Rocky Mountain College,MT
Chamberlain University-Nevada,NV
Florida Memorial University,FL
Vanderbilt University,TN
South Dakota School of Mines and Technology,SD
Youngstown State University,OH
Northwood University,MI
Hampshire College,MA
University of Massachusetts-Dartmouth,MA
Montclair State University,NJ
Oklahoma City University,OK
Adelphi University,NY
Bryant & Stratton College-Virginia Beach,VA
Virginia University of Lynchburg,VA
King University,TN
Santa Fe College,FL
San Francisco Conservatory of Music,CA
University of Montevallo,AL
Columbia University in the City of New York,NY
East Stroudsburg University of Pennsylvania,PA
Grace School of Theology,TX
Mirrer Yeshiva Cent Institute,NY
Buena Vista University,IA
Shenandoah University,VA
Oklahoma Christian University,OK
Clarkson University,NY
Touro University Worldwide,CA
Andrew College,GA
Carroll College,MT
Humphreys University-Stockton and Modesto Campuses,CA
University of Maine at Fort Kent,ME
North Seattle College,WA
Loras College,IA
Boston Architectural College,MA
University of New Mexico-Main Campus,NM
West Coast University-Orange County,CA
Charleston Southern University,SC
Ferris State University,MI
Canisius College,NY
Duquesne University,PA
Clayton  State University,GA
Rabbinical College Bobover Yeshiva Bnei Zion,NY
Antelope Valley Community College District,CA
Oral Roberts University,OK
California Jazz Conservatory,CA
Bethany College,WV
Gustavus Adolphus College,MN
York College of Pennsylvania,PA
Loyola University Maryland,MD
University of South Carolina Beaufort,SC
Ramapo College of New Jersey,NJ
University of Phoenix-Arizona,AZ
Heritage University,WA
Columbia Central University-Yauco,PR
South Georgia State College,GA
Rasmussen University-Kansas,KS
Seton Hall University,NJ
University of Detroit Mercy,MI
Eastern Mennonite University,VA
Platt College-Los Angeles,CA
Abraham Lincoln University,CA
School of the Art Institute of Chicago,IL
Talmudical Yeshiva of Philadelphia,PA
Davidson College,NC
Furman University,SC
University of Minnesota-Duluth,MN
Northern Kentucky University,KY
Inter American University of Puerto Rico-Arecibo,PR
Chestnut Hill College,PA
Upper Iowa University,IA
Strayer University-Alabama,AL
Drake University,IA
Thomas More University,KY
Strayer University-North Carolina,NC
Shasta College,CA
Simmons University,MA
University of Massachusetts-Lowell,MA
Northwest Florida State College,FL
The University of Texas Rio Grande Valley,TX
Bowie State University,MD
Quincy University,IL
San Diego State University,CA
SUNY College of Technology at Canton,NY
Union Bible College,IN
University of the People,--
California Institute of Arts & Technology,CA
San Francisco Bay University,CA
Apex School of Theology,NC
South Texas College,TX
University of the Virgin Islands-Albert A. Sheen,VI
California Miramar University,CA
Western Oregon University,OR
Platt College-Ontario,CA
Providence College,RI
Boise State University,ID
SUNY College at Plattsburgh,NY
Grove City College,PA
College of Biblical Studies,TX
Bryant & Stratton College-Wauwatosa,WI
Illinois Institute of Technology,IL
Brookline College-Tucson,AZ
University of South Carolina-Columbia,SC
Northwest College,WY
West Coast University-Ontario,CA
Lawrence University,WI
Westminster College,UT
Pennsylvania State University-Penn State Brandywine,PA
Latin American Bible Institute,CA
Columbia Central University,PR
Saint Anselm College,NH
Design Institute of San Diego,CA
Walla Walla University,WA
Reed College,OR
Kean University,NJ
Tuskegee University,AL
Oklahoma State University-Main Campus,OK
Universidad Ana G. Mendez-Gurabo Campus,PR
Webster University,MO
Inter American University of Puerto Rico-Metro,PR
Berea College,KY
Midland College,TX
Reach University,CA
University of Maryland Eastern Shore,MD
Albizu University-Miami,FL
California Institute of the Arts,CA
South College,TN
Emory & Henry College,VA
Centralia College,WA
CUNY John Jay College of Criminal Justice,NY
University of the Potomac-VA Campus,VA
University of Houston-Downtown,TX
University of California-Riverside,CA
Nightingale College,UT
Tallahassee Community College,FL
Aurora University,IL
Manhattan College,NY
California State University-San Marcos,CA
Criswell College,TX
Talmudical Academy-New Jersey,NJ
Mayville State University,ND
Lakeland University,WI
Southwestern Adventist University,TX
Dominican University New York,NY
Montana Technological University,MT
Roberts Wesleyan University,NY
Shawnee State University,OH
Lindsey Wilson College,KY
NUC University - Florida Technical College,FL
Barry University,FL
Widener University,PA
Rabbi Jacob Joseph School,NJ
Universidad Central de Bayamon,PR
High Point University,NC
Bryn Mawr College,PA
University of Massachusetts-Boston,MA
Fashion Institute of Technology,NY
Life Pacific University,CA
SUNY College of Environmental Science and Forestry,NY
Dillard University,LA
William Woods University,MO
The University of Texas at Tyler,TX
Benjamin Franklin Cummings Institute of Technology,MA
Linfield University,OR
Atlantis University-Florida Palms University,FL
Wheaton College (Massachusetts),MA
University of Puerto Rico-Carolina,PR
University of Providence,MT
American InterContinental University-Houston,TX
The University of Tampa,FL
Herzing University-Atlanta,GA
Ohio University-Main Campus,OH
Indiana University-Northwest,IN
Wayland Baptist University,TX
Loyola Marymount University,CA
King's College,PA
Ursuline College,OH
Shasta Bible College and Graduate School,CA
Castleton University,VT
Texas College,TX
Olympic College,WA
Stone Child College,MT
Pratt Institute-Main,NY
Paul Quinn College,TX
Arkansas Tech University,AR
Elon University,NC
North Carolina Central University,NC
Russell Sage College,NY
Bethesda University,CA
Hood College,MD
Western Wyoming Community College,WY
Keene State College,NH
Ohio Christian University,OH
Southwestern Christian College,TX
Trine University,IN
Eastern Kentucky University,KY
Clark State College,OH
Saint Leo University,FL
Dakota State University,SD
Southern States University,CA
Lubbock Christian University,TX
Naropa University,CO
St. Thomas University,FL
University of Delaware,DE
Albany College of Pharmacy and Health Sciences,NY
University of Houston,TX
Unitek College,CA
Mount Saint Joseph University,OH
University of Richmond,VA
Francis Marion University,SC
Young Harris College,GA
Kalamazoo College,MI
Weber State University,UT
SUNY College at Old Westbury,NY
College of Charleston,SC
Washington Adventist University,MD
Judson University,IL
Brookline College-Tempe,AZ
Glenville State University,WV
Florida State College at Jacksonville,FL
University of West Georgia,GA
Randolph College,VA
University of Nebraska at Omaha,NE
Trinity Washington University,DC
Chatham University,PA
Dominican University,IL
Machzikei Hadath Rabbinical College,NY
Siena College,NY
DeVry University-Virginia,VA
Golden Gate University,CA
Point Loma Nazarene University,CA
Vanguard University of Southern California,CA
Atlantic University College,PR
College of the Marshall Islands,MH
Farmingdale State College,NY
Minnesota State University Moorhead,MN
University at Buffalo,NY
Eastern International College-Belleville,NJ
Holy Apostles College and Seminary,CT
Orion Technical College,IA
Kettering University,MI
Queens University of Charlotte,NC
United States Sports Academy,--
University of Redlands,CA
Rasmussen University-Minnesota,MN
Bethel University,TN
Albright College,PA
St. Thomas Aquinas College,NY
University of Arkansas for Medical Sciences,AR
University of Central Arkansas,AR
Northeastern University,MA
Washburn University,KS
Pacific College of Health and Science,IL
Dunwoody College of Technology,MN
Lourdes University,OH
Aaniiih Nakoda College,MT
South University-West Palm Beach,FL
Tyler Junior College,TX
SUNY Buffalo State University,NY
Michigan State University,MI
Mid-America Christian University,OK
Caribbean University-Bayamon,PR
Governors State University,IL
University of Maine at Farmington,ME
Millennia Atlantic University,FL
Wilmington College,OH
West Coast University-Los Angeles,CA
Ohio Wesleyan University,OH
Idaho State University,ID
Western New Mexico University,NM
Remington College-Mobile Campus,AL
Aquinas College,MI
SUNY Maritime College,NY
Mississippi State University,MS
Stillman College,AL
St Lawrence University,NY
Bryant & Stratton College-Greece,NY
VanderCook College of Music,IL
Belhaven University,MS
College of Our Lady of the Elms,MA
Utah State University,UT
Saint Johns River State College,FL
Stanbridge University,CA
DeVry College of New York,NY
Illinois Wesleyan University,IL
Bryan College of Health Sciences,NE
Marquette University,WI
ECPI University,VA
Corban University,OR
Chamberlain University-Virginia,VA
American Baptist College,TN
East Carolina University,NC
Roger Williams University,RI
Winona State University,MN
La Salle University,PA
Pennsylvania Western University,PA
Principia College,IL
Friends University,KS
Mary Baldwin University,VA
University of South Carolina-Upstate,SC
SUM Bible College and Theological Seminary,CA
Galveston College,TX
Benedict College,SC
Louisiana State University-Alexandria,LA
Howard University,DC
University of Fort Lauderdale,FL
Mercy College of Ohio,OH
Horizon University,IN
Baptist Missionary Association Theological Seminary,TX
Bryan University,MO
South University-High Point,NC
California State University-Los Angeles,CA
Rabbinical Seminary Mkor Chaim,NJ
Gemini School of Visual Arts & Communication,TX
University of Valley Forge,PA
Saint Ambrose University,IA
Brevard College,NC
Florida Gateway College,FL
Colorado Christian University,CO
Hilbert College,NY
Eastern Florida State College,FL
Brenau University,GA
Lander University,SC
Chipola College,FL
National University,CA
University of Wisconsin-Whitewater,WI
Indiana Wesleyan University-National & Global,IN
University of Alabama in Huntsville,AL
University of Arkansas at Monticello,AR
Heritage Christian University,AL
McKendree University,IL
Georgia Gwinnett College,GA
Southern Illinois University-Carbondale,IL
Chadron State College,NE
Valley City State University,ND
Harrisburg University of Science and Technology,PA
Culver-Stockton College,MO
West Virginia University,WV
Southern University and A & M College,LA
The College of the Florida Keys,FL
Palm Beach Atlantic University,FL
University of Louisiana at Lafayette,LA
Arizona State University Campus Immersion,AZ
Stetson University,FL
Concordia University-Saint Paul,MN
Mansfield University of Pennsylvania,PA
Erskine College,SC
Bluefield University,VA
Maryville College,TN
Radford University-Carilion,VA
Brookline College-Phoenix,AZ
Chaminade University of Honolulu,HI
Trinity College,CT
Colorado College,CO
Eastern Oregon University,OR
Davenport University,MI
Pacific Lutheran University,WA
Weatherford College,TX
Chamberlain University-California,CA
Aultman College of Nursing and Health Sciences,OH
Mid-Atlantic Christian University,NC
Bismarck State College,ND
United Talmudical Seminary,NY
SUNY Oneonta,NY
Waynesburg University,PA
University of Wisconsin-Eau Claire,WI
Paul Smiths College of Arts and Science,NY
Strayer University-South Carolina,SC
Yeshiva Gedolah Imrei Yosef D'spinka,NY
Clarion University of Pennsylvania,PA
Millersville University of Pennsylvania,PA
Rowan University,NJ
Washington College,MD
Mercy College,NY
University of Advancing Technology,AZ
University of Michigan-Dearborn,MI
University of Minnesota-Morris,MN
Clemson University,SC
The University of Findlay,OH
Pennsylvania College of Technology,PA
Florida SouthWestern State College,FL
Park University,MO
Merrimack College,MA
Ottawa University-Ottawa,KS
Lebanon Valley College,PA
Saint Mary-of-the-Woods College,IN
Bates College,ME
CUNY Graduate School and University Center,NY
Western Governors University,UT
Herzing University-Madison,WI
Pacific Union College,CA
Missouri Baptist University,MO
Herzing University-Brookfield,WI
Christian Life College,IL
Strayer University-Arkansas,AR
DeVry University-Nevada,NV
Maharishi International University,IA
Kansas City Art Institute,MO
Drew University,NJ
CUNY City College,NY
Ascent College,VA
Minnesota State University-Mankato,MN
Saint Michael's College,VT
Columbia College,MO
Pacific University,OR
Carolina University,NC
American Medical Sciences Center,CA
Strayer University-Pennsylvania,PA
Texas A&M University-San Antonio,TX
Colgate University,NY
University of Oklahoma-Norman Campus,OK
St Olaf College,MN
United States Coast Guard Academy,CT
Minneapolis College of Art and Design,MN
Grinnell College,IA
Missouri Southern State University,MO
Seattle Central College,WA
George Washington University,DC
LeTourneau University,TX
Agnes Scott College,GA
Misericordia University,PA
University of Mobile,AL
Hofstra University,NY
New York School of Interior Design,NY
Yeshiva Shaarei Torah of Rockland,NY
Talladega College,AL
Eastern Michigan University,MI
Eastwick College-Ramsey,NJ
Herzing University-Kenosha,WI
Boston University,MA
Texas A & M University-Corpus Christi,TX
Manor College,PA
California State University-Sacramento,CA
Mount Angel Seminary,OR
Strayer University-Virginia,VA
West Virginia University Institute of Technology,WV
Pennsylvania State University-Penn State Fayette- Eberly,PA
Pacific Oaks College,CA
Crowley's Ridge College,AR
Macalester College,MN
North Park University,IL
University of Illinois Chicago,IL
Chamberlain University-Michigan,MI
Temple University,PA
Elizabethtown College,PA
Lower Columbia College,WA
Gardner-Webb University,NC
Georgia Military College,GA
Toccoa Falls College,GA
Yellowstone Christian College,MT
Southwestern Christian University,OK
Embry-Riddle Aeronautical University-Prescott,AZ
California Intercontinental University,--
Framingham State University,MA
The College of Saint Scholastica,MN
South University-Savannah,GA
University of Colorado Boulder,CO
Pfeiffer University,NC
Wade College,TX
University of Saint Mary,KS
Niagara University,NY
Freed-Hardeman University,TN
Carleton College,MN
Franklin and Marshall College,PA
Galen College of Nursing-Tampa Bay,FL
Chamberlain University-Louisiana,LA
Tri-State Bible College,OH
DeVry University-Tennessee,TN
Wilson College,PA
Rabbinical College of Ohr Shimon Yisroel,NY
Nevada State College,NV
Collin County Community College District,TX
Pueblo Community College,CO
St. Joseph's University-New York,NY
Wofford College,SC
Rio Hondo College,CA
Arkansas Baptist College,AR
Chamberlain University-Ohio,OH
Hallmark University,TX
Bethel University,IN
Atenas College,PR
Portland State University,OR
Chapman University,CA
University of Hawaii at Hilo,HI
Iowa State University,IA
Wingate University,NC
Fairleigh Dickinson University-Metropolitan Campus,NJ
University of Rhode Island,RI
Trevecca Nazarene University,TN
University of Minnesota-Twin Cities,MN
Provo College,UT
St. Mary's College of Maryland,MD
Lincoln Memorial University,TN
University of the West,CA
Benedictine College,KS
Concordia College at Moorhead,MN
Florida National University-Main Campus,FL
Wentworth Institute of Technology,MA
Cheyney University of Pennsylvania,PA
North Central University,MN
"University of Minnesota-Crookston
",MN
Saint Norbert College,WI
Bethune-Cookman University,FL
CEM College-San Juan,PR
Talmudic College of Florida,FL
Saint Mary's College,IN
Cedar Crest College,PA
Union College,NE
Stevens-The Institute of Business & Arts,MO
Beverly Hills Design Institute,CA
Grace Mission University,CA
Universidad del Sagrado Corazon,PR
Arapahoe Community College,CO
Saint Martin's University,WA
Spring Arbor University,MI
Northern Arizona University,AZ
Northern Illinois University,IL
Northpoint Bible College,MA
University of Pittsburgh-Johnstown,PA
Kent State University at Trumbull,OH
Azusa Pacific University,CA
Oregon Health & Science University,OR
Susquehanna University,PA
Spartan College of Aeronautics and Technology,OK
Pacific Islands University,GU
NUC University,PR
Mount Holyoke College,MA
Bennett College,NC
DeSales University,PA
Villanova University,PA
Indiana State University,IN
Calvin University,MI
Southern California Institute of Architecture,CA
MCPHS University,MA
Caribbean University-Vega Baja,PR
Mount Saint Mary's University,CA
Lincoln University,PA
Bethany Global University,MN
St. John's College,NM
Pennsylvania State University-World Campus,--
Lincoln University,CA
South University-Austin,TX
Gannon University,PA
Platt College-San Diego,CA
Southeastern Louisiana University,LA
University of Washington-Tacoma Campus,WA
DeVry University-New Jersey,NJ
Oak Hills Christian College,MN
Anderson University,SC
Aspen University,AZ
Ball State University,IN
Stony Brook University,NY
Massachusetts College of Liberal Arts,MA
Wellesley College,MA
John Paul the Great Catholic University,CA
Messiah University,PA
Rhodes College,TN
Transylvania University,KY
Southern California Institute of Technology,CA
Eureka College,IL
Dean College,MA
Rivier University,NH
Abraham Baldwin Agricultural College,GA
University of New England,ME
College of Central Florida,FL
Mount St. Mary's University,MD
Rasmussen University-North Dakota,ND
Harris-Stowe State University,MO
Thiel College,PA
Nova Southeastern University,FL
Keiser University-Ft Lauderdale,FL
Eckerd College,FL
Georgia State University,GA
Indiana University-Kokomo,IN
Cornell College,IA
The Evergreen State College,WA
University of New Haven,CT
Lincoln University,MO
Kansas State University,KS
Brigham Young University,UT
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA
Westcliff University,CA
Dewey University-Hato Rey,PR
Bryan College-Dayton,TN
Northwestern Michigan College,MI
Strayer University-Delaware,DE
Riverside College of Health Careers,VA
Troy University,AL
Maria College of Albany,NY
Madonna University,MI
University of Illinois Urbana-Champaign,IL
Graceland University-Lamoni,IA
University of Southern Mississippi,MS
Black Hills State University,SD
Ripon College,WI
McNeese State University,LA
Yakima Valley College,WA
Quinnipiac University,CT
Hope International University,CA
College of Coastal Georgia,GA
University of Connecticut-Avery Point,CT
Ohio University-Zanesville Campus,OH
Xavier University,OH
Marshall University,WV
The College of Westchester,NY
Lane College,TN
Universal Technology College of Puerto Rico,PR
Monroe College,NY
Otis College of Art and Design,CA
Luther College,IA
Huston-Tillotson University,TX
Columbia College Chicago,IL
South University-Richmond,VA
Savannah State University,GA
American National University-Pikeville,KY
Central College,IA
Boston College,MA
College of Saint Benedict,MN
Pima Medical Institute-Tucson,AZ
Antioch College,OH
America Evangelical University,CA
The University of Alabama,AL
National Paralegal College,--
Moody Bible Institute,IL
University of New Hampshire at Manchester,NH
Barclay College,KS
Whitworth University,WA
Spelman College,GA
University of Massachusetts-Amherst,MA
Hanover College,IN
Howard Payne University,TX
Pennsylvania State University-Penn State DuBois,PA
Dominican University of California,CA
Sterling College,VT
Concordia University-Nebraska,NE
Northwest Missouri State University,MO
Guam Community College,GU
Immaculata University,PA
Musicians Institute,CA
Wittenberg University,OH
Snow College,UT
South Florida State College,FL
Dordt University,IA
William Jessup University,CA
Beloit College,WI
Kansas Wesleyan University,KS
Sitting Bull College,ND
McDaniel College,MD
Northern Michigan University,MI
Wartburg College,IA
The University of Texas at San Antonio,TX
Central Christian College of Kansas,KS
Hampden-Sydney College,VA
Walla Walla Community College,WA
Brandeis University,MA
Boricua College,NY
New England Institute of Technology,RI
Edmonds College,WA
Fremont University,CA
Williams College,MA
South Seattle College,WA
Indiana University-South Bend,IN
Fisher College,MA
Central Methodist University-College of Liberal Arts and Sciences,MO
Oregon State University,OR
James Madison University,VA
University of La Verne,CA
SUNY at Purchase College,NY
Rochester Institute of Technology,NY
Webber International University,FL
University of Utah,UT
Montserrat College of Art,MA
University of Baltimore,MD
Palm Beach State College,FL
Saint Mary's College of California,CA
Hobe Sound Bible College,FL
Great Northern University,WA
Art Center College of Design,CA
Culinary Institute of America,NY
Indian River State College,FL
Westminster College,PA
Bennington College,VT
Inter American University of Puerto Rico-Aguadilla,PR
Miami University-Middletown,OH
Baker College,MI
MidAmerica Nazarene University,KS
Averett University,VA
Saint Mary's University of Minnesota,MN
Regis College,MA
Eastern Washington University,WA
Langston University,OK
Delta State University,MS
South University-Columbia,SC
DeVry University-Arizona,AZ
University of Mary,ND
Washington University of Science and Technology,--
St Catherine University,MN
University of Virginia's College at Wise,VA
Plymouth State University,NH
Navajo Technical University,NM
San Jose State University,CA
Faith International University,WA
City University of Seattle,WA
St. Mary's University,TX
Santa Ana College,CA
Trocaire College,NY
DeVry University-Missouri,MO
Sumner College,OR
Georgia Southwestern State University,GA
Point University,GA
Tabor College,KS
Denison University,OH
Bethany College,KS
Talmudical Seminary of Bobov,NY
Columbia College,SC
University of Saint Joseph,CT
Lake Washington Institute of Technology,WA
Seattle Film Institute,WA
Saint Joseph Seminary College,LA
Capella University,MN
Milligan University,TN
Bryn Athyn College of the New Church,PA
University of Nebraska-Lincoln,NE
Ohio University-Chillicothe Campus,OH
Western Nevada College,NV
Dallas Baptist University,TX
Point Park University,PA
Union College,NY
College of Staten Island CUNY,NY
Mount Saint Mary College,NY
Arkansas State University,AR
Springfield College,MA
Fresno Pacific University,CA
Emporia State University,KS
Oakland City University,IN
Joyce University of Nursing and Health Sciences,UT
Gordon College,MA
Radford University,VA
Mount Vernon Nazarene University,OH
FIDM-Fashion Institute of Design & Merchandising,CA
Campbell University,NC
"Iona University

",NY
SUNY Morrisville,NY
South University-Tampa,FL
World Mission University,CA
Illinois State University,IL
Stephen F Austin State University,TX
State College of Florida-Manatee-Sarasota,FL
University of Puerto Rico-Mayaguez,PR
Nossi College of Art,TN
Excelsior University,NY
Wesleyan University,CT
Northern State University,SD
Lewis University,IL
Sinte Gleska University,SD
Lees-McRae College,NC
Babson College,MA
Kent State University at Stark,OH
University of Connecticut-Waterbury Campus,CT
Avila University,MO
Rutgers University-Camden,NJ
University of Central Missouri,MO
City College-Miami,FL
University of Phoenix-California,CA
Ouachita Baptist University,AR
The University of Texas at Dallas,TX
Beal University,ME
University of Cincinnati-Clermont College,OH
Crown College,MN
University of Mary Hardin-Baylor,TX
Stonehill College,MA
University of North Texas at Dallas,TX
Slippery Rock University of Pennsylvania,PA
Taylor University,IN
Huntington University,IN
Ohio State University-Mansfield Campus,OH
Southeastern Baptist College,MS
Soka University of America,CA
Johnson C Smith University,NC
Kent State University at Salem,OH
Arcadia University,PA
Dewey University-Manati,PR
Institute of Production and Recording,MN
Ilisagvik College,AK
Franklin University,OH
Trident University International,--
"University of the Virgin Islands, St. Thomas",VI
Colby College,ME
Loyola University Chicago,IL
Hawaii Pacific University,HI
Washington & Jefferson College,PA
DeVry University-California,CA
Southern Technical College,FL
Platt College-Riverside,CA
University of the Potomac-Washington DC Campus,DC
Creighton University,NE
Centenary University,NJ
DePaul University,IL
Harding University,AR
Indian Bible College,AZ
University of Oregon,OR
Pomona College,CA
Berklee College of Music,MA
Daytona College,FL
Columbus College of Art and Design,OH
Grayson College,TX
Texas A&M University-Texarkana,TX
Salish Kootenai College,MT
Everglades University,FL
Lackawanna College,PA
Central State University,OH
Harvey Mudd College,CA
Midwestern State University,TX
SUNY College of Agriculture and Technology at Cobleskill,NY
University of Washington-Seattle Campus,WA
Central Michigan University,MI
Grand Canyon University,AZ
Earlham College,IN
Uta Mesivta of Kiryas Joel,NY
Agape College of Business and Science,CA
University of Louisville,KY
Yeshivath Shaar Hatorah,NY
Yeshiva Derech Chaim,NY
Eagle Gate College-Boise Campus,ID
Carolinas College of Health Sciences,NC
Sh'or Yoshuv Rabbinical College,NY
Chowan University,NC
Jacksonville University,FL
University of Akron Main Campus,OH
Virginia Polytechnic Institute and State University,VA
Franklin W Olin College of Engineering,MA
Chamberlain University-Indiana,IN
Stephens College,MO
Bay State College,MA
George Mason University,VA
Lewis & Clark College,OR
Marian University,IN
DeVry University-Illinois,IL
Inter American University of Puerto Rico-Guayama,PR
Coker University,SC
LaGrange College,GA
Carson-Newman University,TN
Pennsylvania State University-Penn State Altoona,PA
Stevenson University,MD
Rabbinical College Telshe,OH
Colorado School of Mines,CO
Haven University,CA
University of Arizona,AZ
New York Film Academy,CA
Clinton College,SC
Virginia Military Institute,VA
Citadel Military College of South Carolina,SC
University of Phoenix-Texas,TX
Cleveland Institute of Music,OH
St. John Fisher University,NY
Central Methodist University-College of Graduate and Extended Studies,MO
Lafayette College,PA
MORRIS BROWN COLLEGE,GA
Chamberlain University-Arizona,AZ
Saginaw Valley State University,MI
Oklahoma Panhandle State University,OK
Southwestern College,KS
Chamberlain University-New Jersey,NJ
West Virginia University at Parkersburg,WV
Art Academy of Cincinnati,OH
Universidad Adventista de las Antillas,PR
University of Hawaii at Manoa,HI
North American University,TX
Long Island University,NY
San Joaquin Valley College-Visalia,CA
Benedictine University,IL
Caribbean University-Ponce,PR
Bowling Green State University-Main Campus,OH
SUNY at Albany,NY
Quincy College,MA
Washington State University,WA
Western Illinois University,IL
Kent State University at Tuscarawas,OH
Davis College,NY
Sacred Heart Major Seminary,MI
Laredo College,TX
University of Wisconsin-Oshkosh,WI
University of Charleston,WV
Lake Erie College,OH
Louisiana State University and Agricultural & Mechanical College,LA
Clear Creek Baptist Bible College,KY
American Medical Academy,FL
Saint Peter's University,NJ
Morris College,SC
The Southwestern Baptist Theological Seminary,TX
Concordia University-Irvine,CA
Elmira College,NY
William & Mary,VA
College of Micronesia-FSM,FM
Texas Christian University,TX
Tufts University,MA
Dickinson State University,ND
Red Rocks Community College,CO
Northwest Indian College,WA
Columbia International University,SC
Roanoke College,VA
Northwestern State University of Louisiana,LA
University of Maine at Machias,ME
Touro University,NY
Lehigh University,PA
Spalding University,KY
Marietta College,OH
Bob Jones University,SC
Berry College,GA
School of Visual Arts,NY
Concordia University-Chicago,IL
CEM College-Humacao,PR
Worcester Polytechnic Institute,MA
Stockton University,NJ
Truett McConnell University,GA
Pittsburg State University,KS
Pepperdine University,CA
Drury University-College of Continuing Professional Studies,MO
Kent State University at Geauga,OH
Los Angeles Film School,CA
Connecticut College,CT
Ozark Christian College,MO
MiraCosta College,CA
Warner Pacific University,OR
East Texas Baptist University,TX
Grantham University,--
ATI College-Whittier,CA
Loyola University New Orleans,LA
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA
Mississippi College,MS
Southern Wesleyan University,SC
Lamar University,TX
Odessa College,TX
NewU University,DC
College of Southern Idaho,ID
Saint Johns University,MN
Allen University,SC
Smith Chason College,CA
Walsh University,OH
University of the District of Columbia,DC
University of the Southwest,NM
California State Polytechnic University-Pomona,CA
Baker University,KS
Baldwin Wallace University,OH
"Kutztown University of Pennsylvania
",PA
Galen College of Nursing-Cincinnati,OH
Daemen University,NY
Mercy College of Health Sciences,IA
Pittsburgh Technical College,PA
Alabama A & M University,AL
CUNY Hunter College,NY
Guilford College,NC
La Roche University,PA
Champlain College,VT
Houghton University,NY
Moore College of Art and Design,PA
